"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Lgalsl",0.00016090281363021,3.26885241140154,0.074,0.007,1
"Tuba1a",0.000162300188848053,3.99011738673131,0.062,0.004,1
"Mical3",0.000166572648600789,0.824698731064586,0.494,0.275,1
"Dynll1",0.000167337841498292,1.94842219768693,0.16,0.041,1
"Tmbim1",0.000171345801208925,2.50468816441835,0.111,0.019,1
"Tanc1",0.000172576172070881,0.575510268643748,0.667,0.44,1
"Ikzf2",0.000174375707886133,1.08820897331631,0.407,0.207,1
"Ube2q1",0.000193487700085665,1.62283241400928,0.185,0.055,1
"Spon1",0.000193959737225061,1.44658265600849,0.148,0.038,1
"Rcn2",0.000197680770200616,1.74697752838559,0.235,0.084,1
"Lars2",0.000198996143986531,0.820743781088334,0.667,0.465,1
"Cst3",0.00020162654991829,1.41650382078279,0.272,0.109,1
"Gm12743",0.000202189216844065,1.70633224295545,0.148,0.039,1
"Serinc3",0.000202382153968992,0.562489336374161,0.481,0.275,1
"Apba1",0.00021149521307195,2.16134035637581,0.086,0.013,1
"Nr1d1",0.000214105598247081,1.87067587676483,0.185,0.056,1
"Bsg",0.000219841136748797,1.15883791719901,0.383,0.235,1
"Tmem50a",0.000224905011505934,1.82227074901864,0.173,0.048,1
"Txndc16",0.000232762882442101,1.54342652088224,0.185,0.057,1
"Rai14",0.000234190574935882,0.840248800047378,0.519,0.3,1
"Itm2c",0.000236876123142698,1.84401794416953,0.136,0.033,1
"Pdia4",0.000241231495932901,1.62186370598621,0.222,0.079,1
"Cd274",0.00024352011226004,3.61395039163569,0.037,0.009,1
"Sspn",0.000245629275976706,2.75054452093438,0.099,0.016,1
"Jund",0.000247538130999275,1.76960018097503,0.185,0.056,1
"Gpsm3",0.000258537374175999,4.26045706992927,0.049,0.002,1
"Luzp1",0.000259566650375953,0.731971185673833,0.457,0.251,1
"Nemp2",0.0002654588411849,2.25363814370804,0.074,0.01,1
"1700094M23Rik",0.000269116708785197,6.21226770846968,0.037,0.001,1
"2900089D17Rik",0.000274191851852642,1.84387111543743,0.173,0.049,1
"Lrp10",0.000275315979157681,1.8675906542355,0.185,0.064,1
"Pknox2",0.000286196199238519,1.72288797085383,0.173,0.049,1
"Ccdc167",0.000288808261360551,2.16852418362992,0.123,0.026,1
"Hspb8",0.000292358775555758,4.80023423225161,0.037,0.001,1
"Gdf5",0.000293368136842371,7.72225077456006,0.025,0,1
"Bend4",0.000294935315618071,4.61903768266571,0.037,0.001,1
"Prss42",0.000299074449128447,8.31374252202699,0.025,0,1
"Ctsl",0.000302189276218327,0.988931979470992,0.432,0.232,1
"Gm16337",0.000308684148001522,4.26696277726755,0.049,0.002,1
"Rab30",0.000314729812091806,1.78683061008161,0.173,0.05,1
"Cep78",0.000342022523284831,2.06607201671291,0.148,0.038,1
"Mllt3",0.000345938034634518,0.864291347421548,0.469,0.264,1
"Emp2",0.00035938316145599,3.0018948855007,0.074,0.008,1
"P4ha2",0.000365767899203849,1.8774406857135,0.148,0.038,1
"Cast",0.000371537782662665,1.20993685027579,0.321,0.149,1
"Tab2",0.000371988350436115,0.918038864491093,0.42,0.294,1
"Eef2k",0.000372301234005652,2.24594738847962,0.099,0.018,1
"Kcnu1",0.000380063862457615,4.39056247395297,0.049,0.003,1
"Gm17216",0.000395694435492704,4.40872713088685,0.049,0.003,1
"Tsc22d3",0.000406528324863545,0.947408689438888,0.457,0.259,1
"Kif13a",0.000426014708114929,0.808428062909892,0.432,0.234,1
"Zfhx3",0.000429554091142364,1.01719471586588,0.321,0.147,1
"Gm16701",0.000447339905965388,8.19318190198192,0.025,0,1
"Gpr182",0.000447923225974281,3.89643439789506,0.049,0.003,1
"Zfp608",0.000456526351123559,0.745706592331208,0.568,0.357,1
"Dctd",0.00046520270387806,3.97048580682242,0.049,0.003,1
"Mxra7",0.000469602452771353,2.35477923272491,0.074,0.011,1
"Pde3b",0.000473830498042732,0.372402301514032,0.284,0.132,1
"Slc39a1",0.000475897977910678,2.66919393485226,0.099,0.02,1
"R3hdm4",0.000479236900989507,1.63626676480281,0.123,0.032,1
"Extl1",0.000483961712114915,3.7084450586366,0.062,0.006,1
"Lin54",0.000491886357961385,1.33046574663629,0.185,0.063,1
"Map1b",0.000497984214652021,2.83329461558273,0.086,0.013,1
"Nfkb1",0.000499411129340981,1.09816212393197,0.407,0.223,1
"Sec14l1",0.000515525025756401,1.10039870584743,0.222,0.085,1
"S100a11",0.000520216273388659,1.99282179881109,0.136,0.033,1
"Pcmtd1",0.000527922067584957,0.709788862236711,0.58,0.401,1
"Gm26672",0.000529780007821961,2.9440940752073,0.086,0.016,1
"Plekhg2",0.000543066288542868,2.19402773435123,0.099,0.018,1
"Ager",0.000546337363582128,4.07077940898745,0.049,0.003,1
"Ccdc85c",0.00056292412583363,2.07026012923558,0.148,0.042,1
"Pabpn1",0.000592355899428959,0.865235465814681,0.531,0.384,1
"mt-Nd3",0.000598008840291499,0.64707723212902,0.679,0.551,1
"Klf6",0.000603106708970952,1.55214054248721,0.148,0.043,1
"Il13ra1",0.00060419286656484,1.6768435398496,0.21,0.081,1
"Kdelr1",0.000608423136361744,1.60685612156857,0.222,0.087,1
"Agrn",0.000614164866864002,1.03002238525862,0.309,0.142,1
